name,url
Accounting & Finance,http://www.theguardian.com/education/2014/may/27/universityguide-accountingandfinance
"Agriculture, Forestry & Food",http://www.theguardian.com/education/2008/may/01/universityguide.agricultureandforestry
American Studies,http://www.theguardian.com/education/2008/may/01/universityguide.americanstudies
Anatomy & Physiology,http://www.theguardian.com/education/2008/may/01/universityguide.anatomyandphysiologyeducationsubject
Anthropology,http://www.theguardian.com/education/2008/may/01/universityguide.anthropology
Architecture,http://www.theguardian.com/education/2008/may/01/universityguide.architectureeducationsubject
Art,http://www.theguardian.com/education/2014/may/27/universityguide-art
Biosciences,http://www.theguardian.com/education/2008/may/01/universityguide.veterinaryscience1
Building and town and country planning,http://www.theguardian.com/education/2008/may/01/universityguide.buildingandtownandcountryplanningeducationsubject
"Business, Management & Marketing",http://www.theguardian.com/education/2008/may/01/universityguide.businessandmanagementstudieseducationsubject
Chemistry,http://www.theguardian.com/education/2008/may/01/universityguide.chemistryeducation
Classics & Ancient History,http://www.theguardian.com/education/2008/may/01/universityguide.classicseducation
Computer Science & Information Systems,http://www.theguardian.com/education/2008/may/01/universityguide.computerscienceandit
Dentistry,http://www.theguardian.com/education/2008/may/01/universityguide.dentistry
Design & Crafts,http://www.theguardian.com/education/2014/may/27/universityguide-designandcrafts
Drama & Dance,http://www.theguardian.com/education/2008/may/01/universityguide.dramaanddance
Earth & Marine Sciences,http://www.theguardian.com/education/earthandmarinesciences
Economics,http://www.theguardian.com/education/2008/may/01/universityguide.economics
Education,http://www.theguardian.com/education/educationdegreecourses
Engineering: Chemical,http://www.theguardian.com/education/2008/may/01/universityguide.chemicalengineering
Engineering: Civil,http://www.theguardian.com/education/2008/may/01/universityguide.civilengineering
Engineering: Electronic & Electrical,http://www.theguardian.com/education/2008/may/01/universityguide.electronicsandelectricalengineering
Engineering: General,http://www.theguardian.com/education/2008/may/01/universityguide.engineeringgeneral
Engineering: Materials & Mineral,http://www.theguardian.com/education/2008/may/01/universityguide.materialsandmineralengineering
Engineering: Mechanical,http://www.theguardian.com/education/2008/may/01/universityguide.mechanicalengineering
English & Creative Writing,http://www.theguardian.com/education/2008/may/01/universityguide.english
Fashion & Textiles,http://www.theguardian.com/education/2014/may/27/universityguide-fashionandtextiles
Film Production & Photography,http://www.theguardian.com/education/2014/may/27/universityguide-film-production-and-photography
Forensic Science & Archaeology,http://www.theguardian.com/education/2014/may/27/universityguide-forensic-science-and-archaeology
Geography & Environmental Studies,http://www.theguardian.com/education/2008/may/01/universityguide.geographyandenvironmentstudies
Health Professions,http://www.theguardian.com/education/2014/may/27/universityguide-health-professions
History,http://www.theguardian.com/education/2008/may/01/universityguide.historyandhistoryofart
History of Art,http://www.theguardian.com/education/2014/may/27/universityguide-history-of-art
"Hospitality, Event Management & Tourism",http://www.theguardian.com/education/2014/may/27/universityguide-hospitality-event-management-tourism
"Journalism, Publishing & Public Relations",http://www.theguardian.com/education/2014/may/27/universityguide-journalism-publishing-public-relations
Law,http://www.theguardian.com/education/2008/may/01/universityguide.law
Mathematics,http://www.theguardian.com/education/2008/may/01/universityguide.mathematics
Media & Film Studies,http://www.theguardian.com/education/2014/may/27/universityguide-media-and-film-studies
Medicine,http://www.theguardian.com/education/2008/may/01/universityguide.medicine
Modern Languages & Linguistics,http://www.theguardian.com/education/2008/may/01/universityguide.modernlanguages
Music,http://www.theguardian.com/education/2008/may/01/universityguide.music
Nursing & Midwifery,http://www.theguardian.com/education/2008/may/01/universityguide.nursing
Pharmacy & Pharmacology,http://www.theguardian.com/education/2008/may/01/universityguide.pharmacyandpharmacology
Philosophy,http://www.theguardian.com/education/2008/may/01/universityguide.philosophy
Physics,http://www.theguardian.com/education/2008/may/01/universityguide36
Politics,http://www.theguardian.com/education/2008/may/01/universityguide.politics
Psychology,http://www.theguardian.com/education/2008/may/01/universityguide.psychology
Religious Studies and Theology,http://www.theguardian.com/education/2008/may/01/universityguide.religiousstudiesandtheology
Social Policy & Administration,http://www.theguardian.com/education/2008/may/01/universityguide.socialpolicyandadministration
Social Work,http://www.theguardian.com/education/2008/may/01/universityguide.socialwork
Sociology,http://www.theguardian.com/education/2008/may/01/universityguide.sociology
Sports Science,http://www.theguardian.com/education/2008/may/01/universityguide.sportsscience
Veterinary Science,http://www.theguardian.com/education/2008/may/01/universityguide.veterinaryscience
